Agent_id,status,lost_reason,source,source_city,source_country,utm_source,utm_medium,des_city,des_country,room_type,lead_id,cat_lease,cat_budget
80,0,21,126,2534,163,20,3,18,8,0,15482,1,4
103,0,16,199,2723,163,20,3,26,8,5,3091,5,5
13,0,29,127,2028,99,20,3,199,8,5,18367,0,5
13,0,25,164,999,163,9,3,194,8,5,12967,5,5
25,0,29,126,2195,163,20,3,111,8,1,15482,5,0
70,0,16,136,1306,99,20,3,73,8,5,18367,0,5
5,0,2,164,953,161,20,3,160,8,5,23038,5,5
20,0,15,127,2921,163,20,3,81,8,5,12967,0,5
91,0,21,126,503,163,20,3,18,8,0,5570,1,4
25,0,29,126,2913,163,20,3,111,8,1,4782,1,4
34,0,21,126,2377,163,20,3,109,8,1,1987,2,0
69,0,16,127,2452,99,20,3,146,8,5,7914,2,5
69,0,21,127,2554,31,20,3,194,8,5,608,2,5
20,0,15,127,854,99,20,3,69,8,5,4782,1,5
106,0,29,126,2943,167,20,3,87,8,0,1987,5,5
106,0,8,126,716,163,20,3,87,8,0,7914,1,5
20,0,15,4,3344,99,20,3,133,8,5,2316,2,5
103,0,20,126,2723,163,20,3,91,8,0,4225,1,5
77,0,21,126,327,163,20,3,165,8,0,22164,2,5
47,0,10,280,638,99,20,3,87,8,0,20630,2,5
46,0,5,126,2767,163,20,3,194,8,1,23696,1,0
77,0,21,126,2605,99,20,3,18,8,0,6421,2,4
14,0,20,126,1322,174,20,3,98,8,1,3282,1,5
111,0,10,126,3136,163,20,3,91,8,0,2670,2,0
106,0,29,199,778,31,20,3,91,8,5,5957,5,5
65,0,10,280,1292,163,20,3,186,8,1,12923,2,5
62,0,18,280,3338,163,20,3,6,8,3,11805,0,0
74,0,8,126,1885,163,20,3,26,8,3,14628,1,4
20,0,15,164,3624,163,20,3,81,8,5,24868,5,5
20,0,15,164,1584,163,20,3,81,8,5,13162,5,5
61,0,10,126,3868,163,20,3,194,8,3,5957,5,5
20,0,15,164,1461,178,20,3,69,8,5,18451,5,5
6,0,24,164,2544,163,20,3,73,8,5,2745,5,5
7,0,18,126,1753,163,20,3,87,8,3,13766,5,5
20,0,15,127,2520,163,3,3,198,8,5,2745,2,5
12,0,21,126,2139,163,3,3,130,8,3,15009,1,5
112,0,20,126,1306,99,20,3,165,8,1,19363,5,5
112,0,20,126,1781,165,20,3,130,8,0,15009,2,5
20,0,15,280,778,31,20,3,69,8,3,10729,2,5
20,0,15,280,921,109,20,3,173,8,3,22323,1,0
46,0,20,126,4014,163,20,3,98,8,0,21392,1,5
111,0,10,126,273,118,20,3,130,8,1,11169,2,6
98,0,20,126,357,163,20,3,18,8,0,571,1,4
20,0,15,195,810,163,20,3,106,8,5,1775,2,5
52,0,21,126,2921,163,20,3,18,8,0,14732,1,4
46,0,26,126,2943,167,20,3,109,8,1,571,2,5
62,0,16,126,1140,163,20,3,73,8,1,2795,2,5
105,0,21,195,3868,163,20,3,48,8,5,1775,0,5
16,0,21,126,1541,163,20,3,73,8,1,1396,1,4
79,0,21,126,335,158,20,3,194,8,0,20635,1,0
21,0,21,126,173,163,20,3,109,8,1,8684,2,5
79,1,30,164,2195,163,20,3,148,8,5,18752,5,5
91,0,16,126,638,99,20,3,191,8,3,1396,5,5
9,0,20,127,1541,163,20,3,6,8,5,6813,1,5
35,0,21,126,840,163,20,3,18,8,1,8684,1,4
19,0,20,126,2417,163,20,3,91,8,0,18752,1,5
57,0,10,126,2897,163,20,3,29,8,1,11315,2,4
20,0,15,127,1475,31,20,3,133,8,5,9912,1,5
22,0,20,126,2121,99,20,3,194,8,3,24190,2,5
5,0,16,127,3295,99,20,3,7,8,5,11315,5,5
78,0,20,126,2943,167,20,3,73,8,0,9912,1,5
9,0,20,126,2776,163,20,3,18,8,3,2997,2,0
4,0,21,126,4003,163,20,3,111,8,0,16339,2,4
25,1,30,126,3922,163,20,3,98,8,3,24190,1,4
35,0,26,126,2605,99,20,3,109,8,0,5508,5,5
67,0,21,245,1541,163,20,3,82,8,5,9950,2,5
9,0,25,164,297,163,9,3,18,8,5,4086,2,4
20,0,17,127,2049,99,20,3,199,8,5,20376,5,5
25,0,16,195,638,99,20,3,89,8,5,1723,2,5
4,0,16,126,1955,167,20,3,194,8,0,12309,2,4
103,0,16,199,2605,99,20,3,194,8,5,2534,5,5
40,0,20,126,27,163,20,3,194,8,3,1723,1,4
4,0,21,126,2534,163,20,3,130,8,0,2534,0,5
12,0,16,126,2,138,20,3,151,8,3,1453,2,5
46,0,10,126,3860,60,20,3,91,8,1,11222,1,5
74,0,10,280,638,99,20,3,111,8,0,21293,2,5
6,0,16,127,4155,99,20,3,194,8,5,25343,2,5
109,0,18,199,3137,163,3,3,208,13,5,17494,5,5
20,0,15,126,2830,163,20,3,81,8,3,17752,1,0
98,0,18,126,1885,163,20,3,18,8,3,1562,1,5
52,0,10,126,716,163,20,3,191,8,1,4538,2,4
100,0,20,126,2195,163,20,3,111,8,0,17494,0,5
112,0,20,127,4017,163,20,3,194,8,5,17752,0,5
65,0,20,199,1232,163,20,3,98,8,5,4538,5,5
20,0,15,117,778,31,20,3,81,8,5,2574,5,5
65,0,18,127,1396,99,20,3,130,8,5,5333,5,5
39,1,30,126,3868,163,20,3,148,8,1,17884,1,0
28,0,21,126,2955,163,20,3,194,8,0,20078,1,4
62,1,30,126,999,163,20,3,111,8,0,18104,2,6
20,0,15,127,2028,99,20,3,11,0,5,18341,1,5
9,0,16,164,76,0,20,30,194,8,5,3285,5,5
16,0,20,126,2049,99,20,3,98,8,0,20261,0,5
20,0,15,280,778,31,20,3,22,8,0,3285,1,5
21,0,25,199,2977,167,20,3,165,8,5,13581,5,5
54,0,21,126,297,163,20,3,18,8,3,19883,1,4
35,1,30,126,1743,163,20,3,18,8,1,3002,1,4
102,0,10,280,2927,163,20,3,118,8,0,7486,0,5
102,0,21,126,2534,163,20,3,130,8,1,25510,0,4
19,0,20,126,3858,163,20,3,191,8,3,3322,2,5
20,0,15,164,2844,163,20,30,69,8,5,3002,5,5
20,0,15,65,3344,99,4,9,17,8,5,25510,2,5
78,0,16,126,4109,99,20,3,194,8,0,10126,5,4
78,0,8,195,2943,167,20,3,89,8,5,10126,5,5
57,0,20,126,412,163,20,3,26,8,3,13959,1,0
91,1,30,126,2195,163,20,3,111,8,0,6062,2,4
41,0,20,126,2127,163,20,3,87,8,3,4974,2,5
9,0,25,280,1369,163,20,3,73,8,3,20510,0,4
32,0,21,126,2127,163,20,3,109,8,3,24310,2,4
92,0,10,115,3868,163,20,3,91,8,5,552,2,5
25,0,21,126,669,150,20,3,194,8,3,20061,1,6
60,0,20,126,2882,163,20,3,111,8,0,14945,2,4
18,0,20,126,2850,163,20,3,35,8,3,552,1,5
80,0,20,199,1788,163,20,3,35,8,5,20061,1,5
109,0,21,126,3868,163,20,3,109,8,3,2608,2,4
25,0,25,127,1203,167,20,3,206,8,5,7152,5,5
103,0,18,199,2830,163,20,3,148,8,5,8240,5,5
20,0,15,164,2049,99,20,3,133,8,5,25752,5,5
104,0,10,126,808,143,24,56,194,8,1,6571,0,5
40,0,21,38,1921,99,20,3,130,8,5,18861,0,5
67,0,1,278,3785,99,20,3,194,8,5,25752,5,5
12,0,2,126,375,99,20,3,194,8,0,6571,2,0
62,1,30,126,280,163,20,3,109,8,3,24109,2,4
74,0,16,126,3469,163,20,3,194,8,0,16519,2,5
109,0,16,126,2596,163,20,3,91,8,1,21700,5,5
5,0,20,199,3172,163,20,3,165,8,5,3565,5,5
98,0,16,126,3832,163,20,3,191,8,0,16519,1,5
52,0,20,126,2333,167,20,3,151,8,0,24109,1,5
100,0,29,126,4095,163,20,3,160,8,0,3690,1,4
46,0,29,126,2426,109,20,3,109,8,0,21700,2,5
18,0,16,126,3070,31,20,3,194,8,0,9199,2,4
62,0,25,127,3868,163,20,3,191,8,5,5004,0,5
21,0,20,126,1227,163,20,3,111,8,0,7057,2,4
28,0,26,126,1548,163,20,3,151,8,0,9199,0,5
28,0,10,126,3303,163,20,3,130,8,1,8055,0,4
112,0,20,126,1541,163,20,3,98,8,1,24408,1,5
91,0,7,126,3429,163,20,3,160,8,1,8055,1,4
11,0,21,126,1581,93,20,3,98,8,3,2451,2,5
109,0,16,126,1322,174,20,3,165,8,1,26060,5,5
4,0,20,164,3172,163,20,3,165,8,5,21621,5,5
62,0,20,126,3172,163,20,3,50,8,3,20584,1,0
6,0,20,164,407,91,24,56,194,8,5,13450,5,5
3,0,20,126,901,26,20,3,165,8,0,14301,2,5
5,0,21,127,953,161,20,3,194,8,5,20584,1,5
70,0,25,126,3868,163,20,3,151,8,0,24501,5,5
35,0,21,126,953,161,20,3,91,8,1,25297,1,6
70,0,20,126,1203,167,20,3,35,8,0,8236,1,5
20,0,15,127,1781,165,20,3,69,8,5,25297,1,5
57,0,19,164,1784,163,3,3,91,8,5,18405,5,5
22,0,25,126,900,166,20,3,87,8,3,23513,5,4
41,0,29,126,2943,167,20,3,91,8,0,14508,2,4
9,0,20,126,2127,163,20,3,165,8,0,23959,0,5
92,0,24,126,2373,52,20,3,148,8,3,6731,0,4
3,0,21,126,412,163,20,3,26,8,0,14508,5,4
80,0,26,126,2308,3,20,3,194,8,3,2870,5,5
25,0,29,127,1264,31,20,3,4,8,5,14045,1,5
103,0,21,126,2534,163,20,3,18,8,0,7652,1,4
104,0,20,126,1505,163,20,3,73,8,3,9261,5,5
40,0,7,224,1741,83,24,56,194,8,5,17302,1,5
4,0,20,126,815,165,20,3,91,8,0,397,2,4
55,0,25,258,1107,163,20,3,6,8,5,1108,5,5
