Agent_id,lost_reason,source,source_city,source_country,utm_source,utm_medium,des_city,des_country,room_type,lead_id,cat_lease,cat_budget,status
14,25,199,3722,163,9,3,187,8,5,13739,5,5,0
21,0,126,3868,163,20,3,151,8,3,23466,2,0,0
32,26,126,1227,163,3,3,18,8,0,22324,2,4,0
20,15,232,799,176,24,56,133,8,5,15962,5,5,0
30,11,126,1775,162,20,3,109,8,3,6936,1,0,0
12,15,126,250,163,20,3,29,8,0,24793,1,4,0
20,15,280,2848,99,17,35,133,8,0,2457,1,5,0
28,20,126,4085,163,20,3,87,8,1,13246,1,5,0
40,21,126,1784,163,20,3,148,8,0,15264,5,5,0
20,17,127,3832,163,3,3,137,8,5,3780,1,5,0
28,21,18,4173,180,15,24,61,8,5,2095,5,5,0
98,21,126,1765,163,3,3,6,8,3,19644,2,5,0
51,15,126,3338,163,20,3,6,8,0,19713,0,4,0
77,30,164,1306,99,24,56,165,8,5,12375,4,5,1
13,7,199,2936,163,20,3,160,8,5,958,5,5,0
40,10,164,2628,99,20,30,194,8,5,26315,5,5,0
3,20,126,1154,163,20,3,18,8,3,13613,2,4,0
20,15,280,1157,175,20,3,14,8,1,1182,5,4,0
78,26,126,78,163,20,3,130,8,0,20039,2,4,0
91,21,126,1396,99,17,35,111,8,0,19753,5,5,0
69,7,126,2619,99,20,3,87,8,1,11069,0,5,0
80,21,199,136,163,20,3,18,8,5,2564,5,5,0
3,23,126,1170,163,20,3,26,8,0,17097,1,4,0
20,22,127,2174,174,20,3,142,3,5,14836,2,5,0
62,20,232,3962,163,3,3,194,8,5,3925,5,5,0
12,0,126,2333,167,20,3,35,8,0,15256,1,0,0
91,21,126,3868,163,20,3,165,8,3,6000,1,4,0
41,20,126,3868,163,3,3,165,8,0,25504,1,5,0
20,15,245,1154,163,20,3,104,8,5,23356,1,5,0
112,10,126,3338,163,20,3,6,8,1,25081,2,5,0
20,15,280,2511,99,20,3,133,8,0,727,1,4,0
62,2,126,3528,163,20,3,18,8,0,14582,1,4,0
103,21,126,2943,167,20,3,109,8,0,1660,0,4,0
7,25,126,3685,138,20,3,151,8,0,12762,5,5,0
98,20,126,2028,99,20,3,194,8,3,5157,2,6,0
5,20,232,2534,163,20,3,18,8,5,7789,5,5,0
20,15,232,718,27,20,30,133,8,5,9851,5,5,0
20,15,164,1461,178,20,3,69,8,5,8591,5,5,0
11,16,126,2848,99,20,3,194,8,1,12834,5,5,0
14,7,259,2605,99,20,3,194,8,5,19454,2,5,0
92,24,126,726,174,20,3,194,8,0,20880,0,5,0
47,20,126,1527,99,20,3,18,8,1,9613,2,5,0
7,16,126,1384,8,20,3,111,8,0,12432,1,5,0
21,16,280,190,145,17,28,29,8,0,24862,5,4,0
62,16,126,2951,163,20,3,73,8,0,3943,1,4,0
4,29,164,2943,167,24,56,84,8,5,14000,5,5,0
79,2,18,4173,180,15,24,151,8,5,24759,5,5,0
102,29,127,3315,163,3,3,151,8,5,1652,5,5,0
109,30,164,2628,99,24,56,6,8,5,23782,5,5,1
61,15,164,2049,99,20,3,191,8,5,12029,2,4,0
65,20,126,2121,99,20,3,109,8,0,11684,1,5,0
91,21,199,49,163,20,3,18,8,5,15417,5,5,0
28,16,126,1264,31,20,3,194,8,0,25460,0,5,0
41,29,126,3172,163,20,3,165,8,0,8377,5,5,0
70,25,232,1753,163,9,3,87,8,5,14323,5,5,0
57,25,126,956,45,20,3,111,8,1,8594,0,4,0
5,30,126,1844,163,20,3,18,8,0,10875,1,4,1
57,16,127,1306,99,20,3,186,8,5,2474,5,5,0
47,20,126,2943,167,20,3,109,8,3,13395,1,4,0
35,21,18,4173,180,15,24,26,8,5,6154,5,5,0
19,20,127,3868,163,3,3,194,8,5,13272,5,5,0
80,21,126,297,163,20,3,87,8,3,10904,1,4,0
91,25,126,2341,142,20,3,29,8,0,4933,5,4,0
62,21,199,3398,163,20,3,73,8,5,11799,5,5,0
60,15,280,1243,163,20,3,2,8,3,16394,2,5,0
17,18,280,1396,99,20,3,165,8,0,11933,5,5,0
97,21,126,2943,167,20,3,18,8,3,9058,2,0,0
91,29,126,2245,163,20,3,73,8,0,20477,1,5,0
74,16,126,3922,163,20,3,194,8,0,2806,1,4,0
21,30,232,3440,163,20,3,109,8,5,12423,5,5,1
20,15,126,3185,161,20,3,81,8,0,17378,1,0,0
14,16,126,2396,31,20,3,194,8,1,25607,5,5,0
55,30,126,2175,163,20,3,130,8,3,9638,1,4,1
109,25,164,1535,0,15,43,194,8,5,11278,5,5,0
20,15,199,2655,56,20,3,133,8,5,18967,5,5,0
20,15,232,3521,135,15,43,78,0,5,12208,5,5,0
46,20,280,438,163,20,3,187,8,0,10426,2,4,0
67,21,127,710,31,20,3,59,8,5,2226,1,5,0
9,19,126,2921,163,20,3,151,8,1,5463,2,5,0
13,20,126,2589,99,20,3,73,8,0,23181,2,5,0
103,21,199,2196,24,20,3,6,8,5,20428,5,5,0
20,15,258,1541,163,24,56,12,8,5,6159,0,5,0
20,15,280,4164,99,20,3,7,8,1,16009,5,5,0
20,15,280,3521,135,20,3,133,8,3,13881,2,4,0
20,15,122,3029,99,20,30,106,8,5,13904,1,5,0
102,16,126,3868,163,20,3,160,8,0,12317,2,4,0
20,15,164,1802,112,20,3,133,8,5,10008,5,5,0
103,20,127,2460,99,20,3,7,8,5,8457,2,5,0
74,21,126,1541,163,20,3,151,8,0,22721,0,5,0
65,29,126,3538,175,20,3,128,8,0,18508,1,5,0
80,20,126,2195,163,20,3,111,8,3,18410,5,4,0
